"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Algeria","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","20.5","1"
"Angola","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","45.8",""
"Angola","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","45.8",""
"Angola","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","45.9",""
"Angola","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Angola","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Angola","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","45.9",""
"Angola","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Angola","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Angola","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Angola","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","45.9",""
"Angola","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Angola","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Angola","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","46.5",""
"Angola","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","46.1",""
"Angola","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","46.6",""
"Angola","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","46.3",""
"Angola","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","46.4",""
"Angola","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","46.3",""
"Angola","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","46.3",""
"Angola","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Angola","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Angola","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Argentina","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","43.3",""
"Argentina","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","42.9",""
"Argentina","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","42.4",""
"Argentina","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","42.1",""
"Argentina","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","41.7",""
"Argentina","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","40.8",""
"Argentina","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","40.0",""
"Argentina","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","39.4",""
"Argentina","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","38.7",""
"Argentina","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","38.2",""
"Argentina","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","37.9",""
"Argentina","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","37.5",""
"Argentina","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","36.6",""
"Argentina","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","36.1",""
"Argentina","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","35.5",""
"Argentina","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","35.2","1"
"Argentina","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","34.4",""
"Argentina","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","33.7",""
"Argentina","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","33.0",""
"Argentina","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","32.3",""
"Argentina","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","31.6",""
"Argentina","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","30.8",""
"Armenia","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","49.2",""
"Armenia","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","49.1",""
"Armenia","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","49.0",""
"Armenia","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","49.1",""
"Armenia","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","48.7",""
"Armenia","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","48.2",""
"Armenia","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","47.8",""
"Armenia","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","47.3",""
"Armenia","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","47.0",""
"Armenia","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","46.5","1"
"Armenia","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","46.7",""
"Armenia","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","46.8",""
"Armenia","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","46.9",""
"Armenia","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","47.1",""
"Armenia","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","47.3",""
"Armenia","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","47.5",""
"Armenia","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","47.7","1"
"Armenia","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","47.5",""
"Armenia","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","47.3",""
"Armenia","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","47.2",""
"Armenia","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","47.1",""
"Armenia","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","47.1",""
"Australia","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","45.2",""
"Australia","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","45.0",""
"Australia","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","44.8",""
"Australia","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","44.5","1"
"Australia","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","44.3","1"
"Australia","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","44.2","1"
"Australia","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","44.0","1"
"Australia","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","43.3","1"
"Australia","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","43.3","1"
"Australia","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","42.9","1"
"Australia","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","42.8","1"
"Australia","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","42.7","1"
"Australia","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","42.1","1"
"Australia","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","41.7","1"
"Australia","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","41.6","1"
"Australia","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","41.5","1"
"Australia","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","41.3","1"
"Australia","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","40.8","1"
"Australia","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","40.3","1"
"Australia","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","39.7","1"
"Australia","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","39.2","1"
"Australia","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","38.3","1"
"Austria","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","44.9",""
"Austria","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","44.6",""
"Austria","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","44.3",""
"Austria","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","44.0","1"
"Austria","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","43.9","1"
"Austria","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","43.4","1"
"Austria","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","43.1","1"
"Austria","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","43.0","1"
"Austria","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","42.9","1"
"Austria","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","42.9","1"
"Austria","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","42.7","1"
"Austria","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","42.7","1"
"Austria","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","42.8","1"
"Austria","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","41.6","1"
"Austria","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","41.4","1"
"Austria","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","40.9","1"
"Austria","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","40.8","1"
"Austria","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","40.4","1"
"Austria","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","40.3","1"
"Austria","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","39.9","1"
"Austria","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","39.5","1"
"Austria","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","39.4","1"
"Azerbaijan","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","47.9",""
"Azerbaijan","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","47.7",""
"Azerbaijan","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","47.5",""
"Azerbaijan","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","47.5",""
"Azerbaijan","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","47.2",""
"Azerbaijan","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","47.0",""
"Azerbaijan","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","46.7",""
"Azerbaijan","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","46.3",""
"Azerbaijan","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","46.1",""
"Azerbaijan","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","45.8",""
"Azerbaijan","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","45.6",""
"Azerbaijan","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","45.4",""
"Azerbaijan","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","45.6",""
"Azerbaijan","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Azerbaijan","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","46.4",""
"Azerbaijan","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","46.7",""
"Azerbaijan","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","47.4",""
"Azerbaijan","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","47.4",""
"Azerbaijan","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","47.4",""
"Azerbaijan","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","47.2",""
"Azerbaijan","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","47.1",""
"Azerbaijan","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","47.1",""
"Bahamas","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","49.1",""
"Bahamas","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","49.4",""
"Bahamas","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","49.4",""
"Bahamas","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","48.7",""
"Bahamas","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","49.0",""
"Bahamas","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","48.3",""
"Bahamas","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","48.6",""
"Bahamas","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","49.0",""
"Bahamas","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","48.2","1"
"Bahamas","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","48.2",""
"Bahamas","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","47.4",""
"Bahamas","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","47.0",""
"Bahamas","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","46.2",""
"Bahamas","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","45.7",""
"Bahamas","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","46.0",""
"Bahamas","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","45.5",""
"Bahamas","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","45.0",""
"Bahamas","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","44.4",""
"Bahamas","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","45.1",""
"Bahamas","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","44.5",""
"Bahamas","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","44.9",""
"Bahamas","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","44.2",""
"Bahrain","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","18.6",""
"Bahrain","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","18.7",""
"Bahrain","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","18.6",""
"Bahrain","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","18.2",""
"Bahrain","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","18.0",""
"Bahrain","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","18.4",""
"Bahrain","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","18.3",""
"Bahrain","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","18.2",""
"Bahrain","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","17.9",""
"Bahrain","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","17.4",""
"Bahrain","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","17.1",""
"Bahrain","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","16.9",""
"Bahrain","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","16.7",""
"Bahrain","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","16.1",""
"Bahrain","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","16.9",""
"Bahrain","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","17.5","1"
"Bahrain","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","16.8",""
"Bahrain","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","16.1",""
"Bahrain","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","15.8",""
"Bahrain","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","14.8",""
"Bahrain","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","14.4",""
"Bahrain","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","13.9",""
"Bangladesh","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","36.7",""
"Bangladesh","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","36.8",""
"Bangladesh","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","36.8",""
"Bangladesh","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","37.6",""
"Bangladesh","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","37.6",""
"Bangladesh","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","37.5",""
"Bangladesh","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","37.4","1"
"Bangladesh","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","37.3",""
"Bangladesh","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","37.2",""
"Bangladesh","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","37.2",""
"Bangladesh","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","37.1","1"
"Bangladesh","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","37.6",""
"Bangladesh","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","38.2",""
"Bangladesh","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","38.7",""
"Bangladesh","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","39.2",""
"Bangladesh","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","39.7","1"
"Bangladesh","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","40.2",""
"Bangladesh","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","40.7","1"
"Bangladesh","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","40.6",""
"Bangladesh","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","40.6",""
"Bangladesh","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","40.6","1"
"Bangladesh","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","40.9","1"
"Barbados","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","47.4",""
"Barbados","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","47.6",""
"Barbados","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","47.3",""
"Barbados","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","47.9",""
"Barbados","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","47.9",""
"Barbados","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","48.2",""
"Barbados","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","48.2",""
"Barbados","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","48.1",""
"Barbados","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","48.1",""
"Barbados","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","48.1","1"
"Barbados","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","48.4","1"
"Barbados","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","48.1","1"
"Barbados","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","47.7","1"
"Barbados","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","47.3",""
"Barbados","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","47.6","1"
"Barbados","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","47.6","1"
"Barbados","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","47.2","1"
"Barbados","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","47.6","1"
"Barbados","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","47.9","1"
"Barbados","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","46.3","1"
"Barbados","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","46.5","1"
"Barbados","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","46.8",""
"Belarus","Female 15+ yr","2006","ILO_KILM Database 5ed_2007","Percent","49.4",""
"Belarus","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","49.3",""
"Belarus","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","49.3",""
"Belarus","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","49.2",""
"Belarus","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","49.1",""
"Belarus","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","49.0",""
"Belarus","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","48.9",""
"Belarus","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","48.8","1"
"Belarus","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","48.6",""
"Belarus","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","48.5",""
"Belarus","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","48.4",""
"Belarus","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","48.3",""
"Belarus","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","48.3",""
"Belarus","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","48.4",""
"Belarus","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","48.5",""
"Belarus","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","48.7",""
"Belarus","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","48.8","1"
"Belarus","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","49.0","1"
"Belarus","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","49.0",""
